Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1290268960,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290271747,00000201,false,Rx,0,8,00,FE,FE,00,00,00,3E,00,
1290272764,00000711,false,Rx,0,8,00,03,DE,94,06,74,00,25,
1290278944,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290279955,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290283910,0000077A,false,Rx,0,8,4D,1F,5D,80,1E,00,00,FF,
1290285441,0000049A,false,Rx,0,7,00,45,84,86,98,61,DC,00,
1290289046,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290291790,00000201,false,Rx,0,8,00,FE,FE,00,00,00,3F,00,
1290292792,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290298942,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290299949,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290304381,00000102,false,Rx,0,3,00,00,01,00,00,00,00,00,
1290308946,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290311792,00000201,false,Rx,0,8,00,FE,FE,00,00,00,40,00,
1290318271,00000766,false,Rx,0,8,00,04,00,00,00,03,00,00,
1290319288,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290320293,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290329009,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290331722,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
1290332746,00000201,false,Rx,0,8,00,FE,FE,00,00,00,41,00,
1290332746,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290338167,00000386,false,Rx,0,6,02,EB,E6,78,80,00,00,00,
1290339161,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290340167,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290346383,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1290348891,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290351745,00000201,false,Rx,0,8,00,FE,FE,00,00,00,42,00,
1290358941,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290359948,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290368966,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290371774,00000201,false,Rx,0,8,00,FE,FE,00,00,00,43,00,
1290372769,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290378890,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290379959,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290379960,00000711,false,Rx,0,8,00,03,DE,94,06,74,00,25,
1290383945,0000077A,false,Rx,0,8,4D,1F,5D,80,1E,00,00,FF,
1290385441,0000049A,false,Rx,0,7,00,45,84,86,98,61,DC,00,
1290386402,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1290388916,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290391742,00000201,false,Rx,0,8,00,FE,FE,00,00,00,44,00,
1290398853,000000FA,false,Rx,0,8,17,88,42,10,02,1A,1A,00,
1290399869,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290409008,000000FA,false,Rx,0,8,17,88,42,10,02,1A,1A,00,
1290411771,00000201,false,Rx,0,8,00,FE,FE,00,00,00,45,00,
1290412763,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290418245,00000766,false,Rx,0,8,00,04,00,00,00,03,00,00,
