Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1078881,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
1079751,00000201,false,Rx,0,8,00,FE,FE,00,00,00,65,00,
1079753,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1082533,000000FA,false,Rx,0,8,00,00,1E,10,22,1E,1E,00,
1083588,000001BA,false,Rx,0,6,10,1E,C0,45,61,32,00,00,
1092520,000000FA,false,Rx,0,8,00,00,1E,10,22,1E,1E,00,
1095612,00000766,false,Rx,0,8,18,04,00,00,00,03,00,00,
1098811,00000201,false,Rx,0,8,00,FE,FE,00,00,00,66,00,
1102589,000000FA,false,Rx,0,8,00,00,1E,10,22,1E,1E,00,
1103612,000001BA,false,Rx,0,6,10,1E,C0,45,61,32,00,00,
1112595,000000FA,false,Rx,0,8,00,00,1E,10,22,1E,1E,00,
1113582,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1115492,00000386,false,Rx,0,6,02,DC,A1,86,A6,00,00,00,
1118818,00000201,false,Rx,0,8,00,FE,FE,00,00,00,67,00,
1119832,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1122563,000000FA,false,Rx,0,8,00,00,1E,10,22,1E,1E,00,
1123586,000001BA,false,Rx,0,6,10,1E,C0,45,61,32,00,00,
1129842,00000711,false,Rx,0,8,04,03,F1,FB,06,70,00,46,
1132592,000000FA,false,Rx,0,8,00,00,1E,10,22,1E,1E,00,
1138785,00000201,false,Rx,0,8,00,FE,FE,00,00,00,68,00,
1142571,000000FA,false,Rx,0,8,00,00,1E,10,22,1E,1E,00,
1143694,000001BA,false,Rx,0,6,10,1E,C0,45,61,32,00,00,
1152588,000000FA,false,Rx,0,8,00,00,1E,10,22,1E,1E,00,
1153804,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1158879,00000201,false,Rx,0,8,00,FE,FE,00,00,00,69,00,
1159835,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1162570,000000FA,false,Rx,0,8,00,00,1E,10,22,1E,1E,00,
1163585,000001BA,false,Rx,0,6,10,1E,C0,45,61,32,00,00,
1168131,0000077A,false,Rx,0,8,76,0B,5D,20,1C,00,00,FF,
1169678,0000049A,false,Rx,0,7,00,BC,2E,0A,12,69,67,00,
1172525,000000FA,false,Rx,0,8,00,00,1E,10,22,1E,1E,00,
1178835,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
1179746,00000201,false,Rx,0,8,00,FE,FE,00,00,00,6A,00,
1182527,000000FA,false,Rx,0,8,00,00,1E,10,22,1E,1E,00,
1183508,000001BA,false,Rx,0,6,10,1E,C0,45,61,32,00,00,
1192541,000000FA,false,Rx,0,8,00,00,1E,10,22,1E,1E,00,
1194677,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1195688,00000766,false,Rx,0,8,18,04,00,00,00,03,00,00,
1198846,00000201,false,Rx,0,8,00,FE,FE,00,00,00,6B,00,
