Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
268738,00000201,false,Rx,0,8,00,FE,FE,00,00,00,D9,00,
269741,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
269742,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
272641,00000711,false,Rx,0,8,04,03,F1,F1,06,70,00,22,
279600,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
280633,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
281610,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
283993,0000077A,false,Rx,0,8,3F,00,61,20,1C,00,00,FF,
288723,00000201,false,Rx,0,8,00,FE,FE,00,00,00,DA,00,
289708,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
294833,00000766,false,Rx,0,8,18,04,00,00,00,03,00,00,
299671,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
300653,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
305408,0000049A,false,Rx,0,7,00,AF,33,FA,DF,34,D0,00,
308709,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
309703,00000201,false,Rx,0,8,00,FE,FE,00,00,00,DB,00,
309704,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
310715,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
314724,00000386,false,Rx,0,6,02,15,AF,F4,B6,00,00,00,
319660,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
320619,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
323431,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
328723,00000201,false,Rx,0,8,00,FE,FE,00,00,00,DC,00,
329748,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
339657,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
340659,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
348727,00000201,false,Rx,0,8,00,FE,FE,00,00,00,DD,00,
349739,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
349739,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
359625,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
360639,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
362545,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
368715,00000201,false,Rx,0,8,00,FE,FE,00,00,00,DE,00,
369706,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
379147,00000711,false,Rx,0,8,04,03,F1,F1,06,70,00,22,
380138,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
380139,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
383808,0000077A,false,Rx,0,8,3F,00,61,20,1C,00,00,FF,
388719,00000201,false,Rx,0,8,00,FE,FE,00,00,00,DF,00,
389737,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
389738,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
394809,00000766,false,Rx,0,8,18,04,00,00,00,03,00,00,
399589,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
400663,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
405457,0000049A,false,Rx,0,7,00,AF,33,FA,DF,34,D0,00,
406475,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
408684,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
409675,00000201,false,Rx,0,8,00,FE,FE,00,00,00,E0,00,
409676,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
414734,00000386,false,Rx,0,6,02,15,AF,F4,B6,00,00,00,
419533,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
420556,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
428733,00000201,false,Rx,0,8,00,FE,FE,00,00,00,E1,00,
429717,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
429718,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
439525,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
440527,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
444763,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
448710,00000201,false,Rx,0,8,00,FE,FE,00,00,00,E2,00,
449705,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
459524,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
460529,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
468714,00000201,false,Rx,0,8,00,FE,FE,00,00,00,E3,00,
469708,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
469709,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
479517,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
480507,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
483918,0000077A,false,Rx,0,8,3F,00,61,20,1C,00,00,FF,
485373,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
486942,00000711,false,Rx,0,8,04,03,F1,F1,06,70,00,22,
488679,00000201,false,Rx,0,8,00,FE,FE,00,00,00,E4,00,
489705,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
494835,00000766,false,Rx,0,8,18,04,00,00,00,03,00,00,
495845,0000069F,false,Rx,0,4,89,55,10,0F,00,00,00,00,
499521,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
500526,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
505359,0000049A,false,Rx,0,7,00,AF,33,FA,DF,34,D0,00,
508660,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
509657,00000201,false,Rx,0,8,00,FE,FE,00,00,00,E5,00,
509658,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
510675,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
514714,00000386,false,Rx,0,6,02,15,AF,F4,B6,00,00,00,
519482,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
520489,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
526744,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
528678,00000201,false,Rx,0,8,00,FE,FE,00,00,00,E6,00,
529703,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
539465,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
540481,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
548788,00000201,false,Rx,0,8,00,FE,FE,00,00,00,E7,00,
549745,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
549746,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
559436,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
560457,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
567946,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
568966,00000201,false,Rx,0,8,00,FE,FE,00,00,00,E8,00,
569978,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
579437,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
580458,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
583730,0000077A,false,Rx,0,8,3F,00,61,20,1C,00,00,FF,
588761,00000201,false,Rx,0,8,00,FE,FE,00,00,00,E9,00,
589784,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
589786,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
592434,00000711,false,Rx,0,8,04,03,F1,F1,06,70,00,22,
594779,00000766,false,Rx,0,8,18,04,00,00,00,03,00,00,
599461,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
600473,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
605305,0000049A,false,Rx,0,7,00,AF,33,FA,DF,34,D0,00,
608642,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
609661,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
609662,00000201,false,Rx,0,8,00,FE,FE,00,00,00,EA,00,
610690,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
614712,00000386,false,Rx,0,6,02,15,AF,F4,B6,00,00,00,
619431,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
620456,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
628738,00000201,false,Rx,0,8,00,FE,FE,00,00,00,EB,00,
629742,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
629744,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
639414,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
640428,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
648668,00000201,false,Rx,0,8,00,FE,FE,00,00,00,EC,00,
649707,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
650676,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
659415,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
660424,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
668716,00000201,false,Rx,0,8,00,FE,FE,00,00,00,ED,00,
669708,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
669710,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
679454,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
680430,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
683791,0000077A,false,Rx,0,8,3F,00,61,20,1C,00,00,FF,
688694,00000201,false,Rx,0,8,00,FE,FE,00,00,00,EE,00,
689678,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
690866,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
694805,00000766,false,Rx,0,8,18,04,00,00,00,03,00,00,
699466,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
700460,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
700461,00000711,false,Rx,0,8,04,03,F1,F1,06,70,00,22,
705179,0000049A,false,Rx,0,7,00,AF,33,FA,DF,34,D0,00,
706175,000007DF,false,Rx,0,8,02,01,0D,AA,AA,AA,AA,AA,
708639,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
709633,00000201,false,Rx,0,8,00,FE,FE,00,00,00,EF,00,
709634,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
710655,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
710657,000007E8,false,Rx,0,8,03,41,0D,00,00,00,00,00,
714711,00000386,false,Rx,0,6,02,15,AF,F4,B6,00,00,00,
719370,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
720384,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
723009,000007DF,false,Rx,0,8,02,01,01,AA,AA,AA,AA,AA,
728684,00000201,false,Rx,0,8,00,FE,FE,00,00,00,F0,00,
729705,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
730706,000007E8,false,Rx,0,8,06,41,01,00,06,80,00,00,
731703,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
732744,000007D1,false,Rx,0,7,03,F1,F1,00,00,00,FF,00,
735183,000007DF,false,Rx,0,8,02,01,0C,AA,AA,AA,AA,AA,
739329,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
740353,000007E8,false,Rx,0,8,04,41,0C,00,00,00,00,00,
740354,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
748762,00000201,false,Rx,0,8,00,FE,FE,00,00,00,F1,00,
749722,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
749723,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
759362,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
760369,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
768710,00000201,false,Rx,0,8,00,FE,FE,00,00,00,F2,00,
769708,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
772909,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
779361,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
780364,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
783627,0000077A,false,Rx,0,8,3F,00,61,20,1C,00,00,FF,
788708,00000201,false,Rx,0,8,00,FE,FE,00,00,00,F3,00,
789728,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
789730,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
794841,00000766,false,Rx,0,8,18,04,00,00,00,03,00,00,
799368,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
800385,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
805268,0000049A,false,Rx,0,7,00,AF,33,FA,DF,34,D0,00,
806265,00000711,false,Rx,0,8,04,03,F1,F1,06,70,00,22,
808619,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
809614,00000201,false,Rx,0,8,00,FE,FE,00,00,00,F4,00,
809616,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
812957,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
814707,00000386,false,Rx,0,6,02,15,AF,F4,B6,00,00,00,
819350,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
820365,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
828689,00000201,false,Rx,0,8,00,FE,FE,00,00,00,F5,00,
829678,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
829679,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
839313,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
840332,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
848669,00000201,false,Rx,0,8,00,FE,FE,00,00,00,F6,00,
849659,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
854372,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
859292,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
860304,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
868715,00000201,false,Rx,0,8,00,FE,FE,00,00,00,F7,00,
869716,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
869717,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
879292,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
880306,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
883668,0000077A,false,Rx,0,8,3F,00,61,20,1C,00,00,FF,
888640,00000201,false,Rx,0,8,00,FE,FE,00,00,00,F8,00,
889657,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
894819,00000766,false,Rx,0,8,18,04,00,00,00,03,00,00,
895840,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
899289,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
900300,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
905123,0000049A,false,Rx,0,7,00,AF,33,FA,DF,34,D0,00,
908612,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
909616,00000201,false,Rx,0,8,00,FE,FE,00,00,00,F9,00,
909617,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
910616,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
911636,00000711,false,Rx,0,8,04,03,F1,F1,06,70,00,22,
914685,00000386,false,Rx,0,6,02,15,AF,F4,B6,00,00,00,
919286,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
920285,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
928644,00000201,false,Rx,0,8,00,FE,FE,00,00,00,FA,00,
929658,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
936022,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
939242,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
940263,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
948707,00000201,false,Rx,0,8,00,FE,FE,00,00,00,FB,00,
949702,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
949704,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
959266,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
960258,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
968679,00000201,false,Rx,0,8,00,FE,FE,00,00,00,FC,00,
969673,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
978742,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
979712,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
979713,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
983484,0000077A,false,Rx,0,8,3F,00,61,20,1C,00,00,FF,
988680,00000201,false,Rx,0,8,00,FE,FE,00,00,00,FD,00,
989672,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
989673,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
994807,00000766,false,Rx,0,8,18,04,00,00,00,03,00,00,
999277,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1000285,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
1005113,0000049A,false,Rx,0,7,00,AF,33,FA,DF,34,D0,00,
1008582,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
1009585,00000201,false,Rx,0,8,00,FE,FE,00,00,00,FE,00,
1009586,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1014661,00000386,false,Rx,0,6,02,15,AF,F4,B6,00,00,00,
1018204,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1019213,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
